date,open,high,low,close,volume,barCount,average
20200211  16:30:00,219.91,219.95,217.8,218.32,11737,4727,218.932
20200211  16:35:00,218.31,218.5,217.66,218.32,6072,3260,218.045
20200211  16:40:00,218.3,218.5,217.96,218.33,3150,1992,218.291
20200211  16:45:00,218.36,218.67,218.06,218.49,4328,1640,218.366
20200211  16:50:00,218.52,219.04,218.52,218.81,3249,1858,218.805
20200211  16:55:00,218.82,219.17,218.66,218.82,2269,1482,218.962
20200211  17:00:00,218.82,219.7,218.82,219.61,2792,1421,219.471
20200211  17:05:00,219.6,220.01,219.53,219.74,2914,1501,219.924
20200211  17:10:00,219.75,219.95,219.47,219.58,1831,1030,219.624
20200211  17:15:00,219.57,219.58,218.56,218.77,2337,1217,218.955
20200211  17:20:00,218.78,218.85,218.54,218.62,1818,981,218.685
20200211  17:25:00,218.61,218.75,218.24,218.26,1540,835,218.483
20200211  17:30:00,218.28,218.84,218.26,218.76,1508,813,218.571
20200211  17:35:00,218.74,218.77,218.4,218.46,1330,767,218.596
20200211  17:40:00,218.51,218.88,218.43,218.57,1127,617,218.639
20200211  17:45:00,218.57,218.63,218.42,218.55,964,593,218.521
20200211  17:50:00,218.53,218.56,218.26,218.28,1591,897,218.45
20200211  17:55:00,218.26,218.62,218.26,218.4,1133,719,218.477
20200211  18:00:00,218.38,218.47,218.31,218.4,925,577,218.398
20200211  18:05:00,218.41,218.58,218.39,218.42,1672,883,218.509
20200211  18:10:00,218.4,218.48,218.01,218.3,1310,693,218.214
20200211  18:15:00,218.32,218.83,218.3,218.82,1008,562,218.518
20200211  18:20:00,218.79,218.9,218.44,218.54,980,518,218.709
20200211  18:25:00,218.53,218.62,218.23,218.52,1496,586,218.367
20200211  18:30:00,218.55,218.59,218.02,218.06,1136,679,218.227
20200211  18:35:00,218.03,218.18,217.5,217.57,2513,1141,217.838
20200211  18:40:00,217.59,217.9,217.4,217.8,1218,624,217.659
20200211  18:45:00,217.77,217.87,217.52,217.76,668,427,217.711
20200211  18:50:00,217.78,217.88,217.55,217.67,683,398,217.708
20200211  18:55:00,217.68,217.82,217.48,217.67,694,446,217.607
20200211  19:00:00,217.69,218.07,217.57,218.06,695,392,217.883
20200211  19:05:00,218.06,218.19,217.86,217.86,1054,538,218.053
20200211  19:10:00,217.9,218.13,217.86,218.0,1027,497,218.014
20200211  19:15:00,217.98,218.03,217.82,217.97,371,298,217.926
20200211  19:20:00,217.99,218.1,217.8,217.84,503,297,217.954
20200211  19:25:00,217.84,217.94,217.73,217.75,786,462,217.831
20200211  19:30:00,217.75,217.9,217.66,217.71,466,360,217.754
20200211  19:35:00,217.68,217.79,217.53,217.75,341,270,217.655
20200211  19:40:00,217.75,217.91,217.65,217.67,373,227,217.778
20200211  19:45:00,217.65,218.02,217.55,217.96,624,381,217.876
20200211  19:50:00,217.97,218.0,217.83,217.91,663,394,217.911
20200211  19:55:00,217.93,218.23,217.9,218.17,719,471,218.083
20200211  20:00:00,218.17,218.46,218.16,218.31,372,269,218.305
20200211  20:05:00,218.33,218.34,218.17,218.26,257,191,218.24
20200211  20:10:00,218.24,218.4,218.2,218.26,413,289,218.337
20200211  20:15:00,218.26,218.4,218.25,218.35,428,293,218.342
20200211  20:20:00,218.33,218.34,218.19,218.23,414,258,218.252
20200211  20:25:00,218.23,218.4,218.15,218.2,625,443,218.322
20200211  20:30:00,218.18,218.22,217.94,217.94,626,361,218.084
20200211  20:35:00,217.96,218.1,217.75,217.75,938,443,217.904
20200211  20:40:00,217.75,217.76,217.61,217.68,923,437,217.682
20200211  20:45:00,217.67,217.78,217.65,217.67,640,373,217.699
20200211  20:50:00,217.66,217.67,217.32,217.32,1145,639,217.481
20200211  20:55:00,217.33,217.41,217.2,217.22,891,588,217.335
20200211  21:00:00,217.22,217.38,216.72,216.81,1344,828,217.024
20200211  21:05:00,216.81,216.83,216.13,216.28,2886,1399,216.401
20200211  21:10:00,216.28,216.43,216.11,216.12,2399,1116,216.284
20200211  21:15:00,216.1,216.33,216.0,216.12,2728,1246,216.108
20200211  21:20:00,216.12,216.37,215.69,215.91,2347,1199,216.041
20200211  21:25:00,215.9,215.95,215.29,215.88,2130,1199,215.642
20200211  21:30:00,215.91,216.04,215.77,215.87,2099,1106,215.929
20200211  21:35:00,215.87,216.42,215.78,216.35,1209,752,216.149
20200211  21:40:00,216.36,216.99,216.29,216.82,906,629,216.638
20200211  21:45:00,216.82,216.83,216.55,216.71,997,588,216.702
20200211  21:50:00,216.71,216.98,216.68,216.95,829,547,216.854
20200211  21:55:00,216.96,217.08,216.58,216.83,988,685,216.858
20200211  22:00:00,216.85,217.1,216.51,216.54,981,578,216.856
20200211  22:05:00,216.55,217.01,216.51,216.64,1195,593,216.781
20200211  22:10:00,216.63,216.73,216.38,216.64,1178,667,216.557
20200211  22:15:00,216.64,216.7,216.27,216.47,1084,675,216.523
20200211  22:20:00,216.47,219.1,216.4,216.49,1267,781,216.546
20200211  22:25:00,217.72,217.73,216.35,216.7,1381,747,216.541
20200211  22:30:00,216.7,216.9,216.54,216.8,1192,843,216.665
20200211  22:35:00,216.81,217.07,216.81,216.9,1130,774,216.939
20200211  22:40:00,216.89,217.5,216.86,217.31,1948,1088,217.225
20200211  22:45:00,217.32,217.38,216.91,216.91,1337,958,217.106
20200211  22:50:00,216.91,217.45,216.89,217.23,2280,1629,217.213
20200211  22:55:00,217.23,217.39,217.02,217.24,4206,2541,217.227
20200212  16:30:00,220.91,221.4,220.59,221.13,6960,1220,220.987
20200212  16:35:00,221.18,221.3,220.21,220.85,5218,2980,220.861
20200212  16:40:00,220.83,221.72,220.78,221.33,3335,1868,221.376
20200212  16:45:00,221.33,221.8,221.25,221.45,2692,1501,221.526
20200212  16:50:00,221.45,221.58,221.0,221.49,3836,1500,221.232
20200212  16:55:00,221.5,222.58,221.16,222.58,4985,2042,221.988
20200212  17:00:00,222.54,222.86,222.13,222.27,3145,1536,222.499
20200212  17:05:00,222.23,222.94,222.07,222.88,3320,1672,222.543
20200212  17:10:00,222.91,223.86,222.87,223.71,4369,1959,223.336
20200212  17:15:00,223.69,224.6,223.56,224.6,4526,2087,224.138
20200212  17:20:00,224.6,224.74,224.0,224.3,4395,2080,224.39
20200212  17:25:00,224.29,224.38,223.87,223.95,1986,1268,224.082
20200212  17:30:00,223.97,224.3,223.52,223.7,2144,1244,223.924
20200212  17:35:00,223.7,224.98,223.7,224.9,3685,2186,224.239
20200212  17:40:00,224.88,225.42,224.8,225.05,4538,2097,225.122
20200212  17:45:00,225.06,225.27,224.84,224.92,1722,994,225.068
20200212  17:50:00,224.94,225.0,224.7,224.93,1290,719,224.884
20200212  17:55:00,224.94,225.16,224.22,224.56,1967,970,224.708
20200212  18:00:00,224.59,224.88,224.23,224.75,1592,894,224.526
20200212  18:05:00,224.81,224.98,224.61,224.79,1005,623,224.79
20200212  18:10:00,224.79,224.86,224.31,224.52,1325,789,224.516
20200212  18:15:00,224.53,224.64,224.3,224.61,979,615,224.461
20200212  18:20:00,224.62,224.69,224.15,224.22,922,548,224.363
20200212  18:25:00,224.22,224.27,223.95,224.13,902,617,224.089
20200212  18:30:00,224.16,224.3,223.98,224.26,1083,690,224.097
20200212  18:35:00,224.26,224.35,224.13,224.35,868,550,224.234
20200212  18:40:00,224.33,224.39,223.98,224.04,1181,518,224.16
20200212  18:45:00,224.05,224.06,223.65,224.01,973,564,223.85
20200212  18:50:00,224.03,224.49,224.0,224.43,853,444,224.266
20200212  18:55:00,224.43,224.48,224.15,224.36,1015,580,224.333
20200212  19:00:00,224.37,224.54,224.15,224.15,832,446,224.411
20200212  19:05:00,224.15,224.8,224.13,224.74,1016,554,224.499
20200212  19:10:00,224.7,224.71,223.88,224.08,1220,676,224.168
20200212  19:15:00,224.11,224.37,224.07,224.27,795,400,224.228
20200212  19:20:00,224.25,224.59,224.23,224.58,1583,623,224.429
20200212  19:25:00,224.6,224.74,224.45,224.54,1431,772,224.601
20200212  19:30:00,224.55,224.94,224.54,224.92,1084,621,224.778
20200212  19:35:00,224.94,225.04,224.79,224.87,1343,647,224.94
20200212  19:40:00,224.9,224.97,224.7,224.73,667,358,224.831
20200212  19:45:00,224.76,224.91,224.75,224.86,567,284,224.824
20200212  19:50:00,224.82,224.85,224.66,224.69,593,303,224.763
20200212  19:55:00,224.7,224.77,224.41,224.63,677,407,224.579
20200212  20:00:00,224.63,224.95,224.6,224.94,866,421,224.779
20200212  20:05:00,224.92,225.0,224.82,224.99,1267,574,224.94
20200212  20:10:00,224.98,225.0,224.78,224.95,929,431,224.925
20200212  20:15:00,224.96,225.08,224.93,224.97,1151,621,224.992
20200212  20:20:00,224.96,224.99,224.46,224.59,1221,621,224.783
20200212  20:25:00,224.55,224.59,224.31,224.45,651,418,224.444
20200212  20:30:00,224.42,224.95,224.42,224.95,922,437,224.685
20200212  20:35:00,224.94,225.06,224.65,224.65,847,407,224.87
20200212  20:40:00,224.65,224.81,224.53,224.53,1003,492,224.671
20200212  20:45:00,224.54,224.65,224.5,224.53,1189,611,224.565
20200212  20:50:00,224.53,224.8,224.51,224.7,757,460,224.646
20200212  20:55:00,224.73,224.94,224.71,224.88,616,252,224.821
20200212  21:00:00,224.89,224.9,224.73,224.76,426,266,224.826
20200212  21:05:00,224.75,224.93,224.66,224.93,742,391,224.77
20200212  21:10:00,224.93,224.98,224.66,224.66,840,426,224.872
20200212  21:15:00,224.68,224.82,224.61,224.71,656,405,224.713
20200212  21:20:00,224.72,224.9,224.7,224.86,490,270,224.812
20200212  21:25:00,224.87,225.02,224.7,224.76,915,379,224.942
20200212  21:30:00,224.76,224.76,224.52,224.56,1024,542,224.633
20200212  21:35:00,224.56,224.74,224.49,224.6,909,590,224.585
20200212  21:40:00,224.63,224.85,224.63,224.79,675,474,224.74
