date,open,high,low,close,volume,barCount,average
20201023  16:30:00,215.03,215.29,214.04,214.17,7303,2451,214.765
20201023  16:35:00,214.12,214.12,213.59,213.8,3509,1884,213.795
20201023  16:40:00,213.81,213.9,213.16,213.57,3711,2001,213.521
20201023  16:45:00,213.61,214.05,213.37,213.84,3027,1658,213.77
20201023  16:50:00,213.83,214.42,213.6,214.39,2635,1457,214.107
20201023  16:55:00,214.4,214.63,214.21,214.38,2996,1670,214.467
20201023  17:00:00,214.32,214.32,213.53,213.66,2055,1249,213.783
20201023  17:05:00,213.69,214.19,213.54,214.03,1508,913,214.019
20201023  17:10:00,214.03,214.83,213.73,214.73,1884,1115,214.366
20201023  17:15:00,214.78,215.34,214.76,215.14,2233,1072,214.988
20201023  17:20:00,215.15,215.2,214.56,214.81,1792,1006,214.941
20201023  17:25:00,214.83,215.25,214.82,215.05,1275,749,215.085
20201023  17:30:00,215.03,215.73,214.89,215.51,2262,1211,215.442
20201023  17:35:00,215.51,215.58,214.88,215.04,1606,831,215.22
20201023  17:40:00,215.06,215.48,214.73,214.99,1609,1016,215.133
20201023  17:45:00,214.96,215.27,214.73,215.0,1422,870,215.037
20201023  17:50:00,215.03,215.12,214.66,214.69,1443,872,214.825
20201023  17:55:00,214.69,215.15,214.43,215.04,1309,858,214.782
20201023  18:00:00,215.03,215.38,214.9,215.37,1309,703,215.199
20201023  18:05:00,215.37,215.44,215.26,215.39,1316,692,215.355
20201023  18:10:00,215.4,215.59,215.08,215.37,1621,889,215.413
20201023  18:15:00,215.37,215.37,214.82,214.88,1495,912,215.009
20201023  18:20:00,214.9,214.99,214.16,214.24,1977,1201,214.466
20201023  18:25:00,214.29,214.51,214.16,214.49,1349,825,214.356
20201023  18:30:00,214.49,214.56,214.16,214.32,1202,706,214.373
20201023  18:35:00,214.33,214.36,213.8,213.94,1730,993,214.097
20201023  18:40:00,213.92,214.7,213.8,214.42,1589,891,214.375
20201023  18:45:00,214.41,214.56,213.98,214.15,1399,743,214.144
20201023  18:50:00,214.19,214.4,214.04,214.33,1253,617,214.242
20201023  18:55:00,214.34,214.85,214.3,214.85,1206,617,214.639
20201023  19:00:00,214.84,215.07,214.56,215.0,1733,906,214.818
20201023  19:05:00,215.01,215.15,214.9,215.08,1568,888,215.023
20201023  19:10:00,215.07,215.2,214.87,215.03,1160,594,215.059
20201023  19:15:00,215.04,215.33,214.25,214.94,3015,1673,214.865
20201023  19:20:00,214.99,215.02,214.39,214.5,1265,765,214.635
20201023  19:25:00,214.53,214.89,214.44,214.87,1180,626,214.754
20201023  19:30:00,214.86,215.11,214.71,214.94,1251,632,214.877
20201023  19:35:00,214.92,215.23,214.89,215.17,1556,811,215.104
20201023  19:40:00,215.17,215.26,214.89,215.2,1252,736,215.106
20201023  19:45:00,215.18,215.24,214.92,215.15,889,583,215.088
20201023  19:50:00,215.14,215.28,214.91,215.04,1196,736,215.136
20201023  19:55:00,215.07,215.16,214.61,214.78,1168,676,214.844
20201023  20:00:00,214.78,215.3,214.77,215.26,1000,569,215.093
20201023  20:05:00,215.26,215.34,215.18,215.3,714,434,215.276
20201023  20:10:00,215.31,215.4,215.11,215.18,1160,659,215.237
20201023  20:15:00,215.19,215.44,215.01,215.27,1347,723,215.221
20201023  20:20:00,215.26,215.54,215.16,215.46,1190,693,215.423
20201023  20:25:00,215.44,215.54,215.32,215.4,683,446,215.443
20201023  20:30:00,215.4,215.48,215.17,215.32,963,568,215.387
20201023  20:35:00,215.32,215.36,215.12,215.22,630,367,215.243
20201023  20:40:00,215.21,215.3,215.02,215.02,694,408,215.143
20201023  20:45:00,215.04,215.07,214.88,215.04,948,541,214.968
20201023  20:50:00,215.05,215.24,215.04,215.09,866,478,215.147
20201023  20:55:00,215.08,215.21,214.94,214.98,664,417,215.06
20201023  21:00:00,214.98,215.33,214.93,215.29,1071,577,215.126
20201023  21:05:00,215.32,215.58,215.24,215.31,960,637,215.358
20201023  21:10:00,215.3,215.33,215.12,215.25,812,495,215.203
20201023  21:15:00,215.24,215.6,215.19,215.47,1411,804,215.384
20201023  21:20:00,215.48,215.48,215.3,215.4,1027,581,215.377
20201023  21:25:00,215.41,215.58,215.37,215.57,1211,635,215.478
20201023  21:30:00,215.55,215.6,215.42,215.44,1079,606,215.521
20201023  21:35:00,215.44,215.5,215.21,215.48,1717,963,215.361
20201023  21:40:00,215.48,215.61,215.4,215.44,1941,924,215.506
